作品ID,作品名,作品名読み,分類番号,文字遣い種別,人物ID,姓,名,姓読み,名読み,テキストファイルURL,XHTML/HTMLファイルURL
000103,妙な話,みょうなはなし,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/103_ruby_948.zip,https://www.aozora.gr.jp/cards/000879/files/103_15250.html
000102,貉,むじな,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/102_ruby_724.zip,https://www.aozora.gr.jp/cards/000879/files/102_14482.html
000097,Mensura Zoili,メンスラ　ゾイリ,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/97_ruby_757.zip,https://www.aozora.gr.jp/cards/000879/files/97_15251.html
000101,毛利先生,もうりせんせい,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/101_ruby_857.zip,https://www.aozora.gr.jp/cards/000879/files/101_15252.html
000100,桃太郎,ももたろう,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/100_ruby_1154.zip,https://www.aozora.gr.jp/cards/000879/files/100_15253.html
000182,保吉の手帳から,やすきちのてちょうから,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/182_ruby_1184.zip,https://www.aozora.gr.jp/cards/000879/files/182_15254.html
000179,藪の中,やぶのなか,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/179_ruby_168.zip,https://www.aozora.gr.jp/cards/000879/files/179_15255.html
001127,悠々荘,ゆうゆうそう,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/1127_ruby_17637.zip,https://www.aozora.gr.jp/cards/000879/files/1127_17681.html
000188,誘惑,ゆうわく,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/188_ruby_1365.zip,https://www.aozora.gr.jp/cards/000879/files/188_15281.html
000186,夢,ゆめ,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/186_ruby_1585.zip,https://www.aozora.gr.jp/cards/000879/files/186_15257.html
000187,百合,ゆり,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/187_ruby_1150.zip,https://www.aozora.gr.jp/cards/000879/files/187_15258.html
000184,妖婆,ようば,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/184_ruby_897.zip,https://www.aozora.gr.jp/cards/000879/files/184_15259.html
000127,羅生門,らしょうもん,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/127_ruby_150.zip,https://www.aozora.gr.jp/cards/000879/files/127_15260.html
000134,竜,りゅう,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/134_ruby_893.zip,https://www.aozora.gr.jp/cards/000879/files/134_15262.html
000133,るしへる,るしへる,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/133_ruby_861.zip,https://www.aozora.gr.jp/cards/000879/files/133_14546.html
000131,老年,ろうねん,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/131_ruby_241.zip,https://www.aozora.gr.jp/cards/000879/files/131_15263.html
000132,路上,ろじょう,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/132_ruby_1577.zip,https://www.aozora.gr.jp/cards/000879/files/132_15264.html
000739,シャドウ・ワーク,シャドウ・ワーク,NDC 913,新字新仮名,000139,朝倉,克彦,あさくら,かつひこ,,http://www.eurus.dti.ne.jp/~pathos/sub11.html
000201,或る女,あるおんな,NDC 913,新字新仮名,000025,有島,武郎,ありしま,たけお,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,https://www.aozora.gr.jp/cards/000025/files/201_20052.html
000202,或る女,あるおんな,NDC 913,新字新仮名,000025,有島,武郎,ありしま,たけお,https://www.aozora.gr.jp/cards/000025/files/202_ruby_20065.zip,https://www.aozora.gr.jp/cards/000025/files/202_20066.html
001111,生まれいずる悩み,うまれいずるなやみ,NDC 913,新字新仮名,000025,有島,武郎,ありしま,たけお,https://www.aozora.gr.jp/cards/000025/files/1111_ruby_20599.zip,https://www.aozora.gr.jp/cards/000025/files/1111_20600.html
000215,溺れかけた兄妹,おぼれかけたきょうだい,NDC K913,新字新仮名,000025,有島,武郎,ありしま,たけお,https://www.aozora.gr.jp/cards/000025/files/215_ruby_20450.zip,https://www.aozora.gr.jp/cards/000025/files/215_20451.html
001143,親子,おやこ,NDC 913,新字新仮名,000025,有島,武郎,ありしま,たけお,https://www.aozora.gr.jp/cards/000025/files/1143_ruby_23130.zip,https://www.aozora.gr.jp/cards/000025/files/1143_23267.html
000204,カインの末裔,カインのまつえい,NDC 913,新字新仮名,000025,有島,武郎,ありしま,たけお,https://www.aozora.gr.jp/cards/000025/files/204_ruby_3382.zip,https://www.aozora.gr.jp/cards/000025/files/204_19524.html
000212,火事とポチ,かじとポチ,NDC K913,新字新仮名,000025,有島,武郎,ありしま,たけお,https://www.aozora.gr.jp/cards/000025/files/212_ruby_19526.zip,https://www.aozora.gr.jp/cards/000025/files/212_19527.html
002943,かんかん虫,かんかんむし,NDC 913,新字新仮名,000025,有島,武郎,ありしま,たけお,https://www.aozora.gr.jp/cards/000025/files/2943_ruby_8114.zip,https://www.aozora.gr.jp/cards/000025/files/2943_9309.html
